dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,8.526565,7.670647,0.003125,0.125000,2.500000,50.000000,5.976876
0.050000,8.531602,7.669041,0.015625,0.375000,5.000000,50.000000,5.973855
0.050000,8.555392,7.661359,0.040625,0.625000,5.000000,0.000000,5.967813
0.050000,8.590990,7.649566,0.078125,0.875000,5.000000,0.000000,5.958746
0.050000,8.638283,7.633341,0.128125,1.125000,5.000000,0.000000,5.946652
0.050000,8.697119,7.612257,0.190625,1.375000,5.000000,0.000000,5.931540
0.050000,8.767291,7.585788,0.265625,1.625000,5.000000,0.000000,5.913435
0.050000,8.848539,7.553310,0.353125,1.875000,5.000000,0.000000,5.892385
0.050000,8.940535,7.514114,0.453125,2.125000,5.000000,0.000000,5.868476
0.050000,9.042881,7.467417,0.565625,2.375000,5.000000,0.000000,5.841843
0.050000,9.155107,7.412377,0.690625,2.625000,5.000000,0.000000,5.812681
0.050000,9.276662,7.348121,0.828125,2.875000,5.000000,0.000000,5.781256
0.050000,9.406926,7.273763,0.978125,3.125000,5.000000,0.000000,5.747911
0.050000,9.545215,7.188441,1.140625,3.375000,5.000000,0.000000,5.713069
0.050000,9.690798,7.091347,1.315625,3.625000,5.000000,0.000000,5.677227
0.050000,9.842923,6.981755,1.503125,3.875000,5.000000,0.000000,5.640947
0.050000,10.000848,6.859056,1.703125,4.125000,5.000000,0.000000,5.604833
0.050000,10.163877,6.722772,1.915625,4.375000,5.000000,0.000000,5.569509
0.050000,10.331394,6.572578,2.140625,4.625000,5.000000,0.000000,5.535602
0.050000,10.502902,6.408303,2.378125,4.875000,5.000000,0.000000,5.503715
0.050000,10.678060,6.229935,2.628125,5.125000,5.000000,0.000000,5.474416
0.050000,10.856706,6.037613,2.890625,5.375000,5.000000,0.000000,5.448236
0.050000,11.038891,5.831626,3.165625,5.625000,5.000000,0.000000,5.425670
0.050000,11.224895,5.612408,3.453125,5.875000,5.000000,0.000000,5.407190
0.050000,11.415250,5.380539,3.753125,6.125000,5.000000,0.000000,5.393266
0.050000,11.610766,5.136758,4.065625,6.375000,5.000000,0.000000,5.384396
0.050000,11.812554,4.881990,4.390625,6.625000,5.000000,0.000000,5.381132
0.050000,12.022056,4.617386,4.728125,6.875000,5.000000,0.000000,5.384120
0.050000,12.241083,4.344391,5.078125,7.125000,5.000000,0.000000,5.394141
0.050000,12.471852,4.064841,5.440625,7.375000,5.000000,0.000000,5.412147
0.050000,12.717017,3.781098,5.815625,7.625000,5.000000,0.000000,5.439290
0.050000,12.979683,3.496237,6.203125,7.875000,5.000000,0.000000,5.476923
0.050000,13.263347,3.214276,6.603125,8.125000,5.000000,0.000000,5.526537
0.050000,13.571737,2.940424,7.015625,8.375000,5.000000,0.000000,5.589555
0.050000,13.908448,2.681270,7.440625,8.625000,5.000000,0.000000,5.666924
0.050000,14.276318,2.444746,7.878125,8.875000,5.000000,0.000000,5.758449
0.050000,14.676615,2.239612,8.328125,9.125000,5.000000,0.000000,5.862038
0.050000,15.108317,2.074328,8.790625,9.375000,5.000000,0.000000,5.973354
0.050000,15.567959,1.955530,9.265625,9.625000,5.000000,0.000000,6.086443
0.050000,16.050346,1.886808,9.753125,9.875000,5.000000,0.000000,6.195299
0.050000,16.535294,1.867070,10.250000,10.000000,2.500000,-50.000000,6.272172
0.050000,17.035280,1.863565,10.750000,10.000000,0.000000,-50.000000,6.280040
0.050000,17.535279,1.863788,11.250000,10.000000,0.000000,0.000000,0.003901
0.050000,18.032185,1.867297,11.746918,9.876736,-2.465273,-49.305452,0.010086
0.050000,18.519774,1.873533,12.234549,9.628473,-4.965273,-50.000000,0.015363
0.050000,18.994874,1.881904,12.709722,9.378473,-5.000000,-0.694548,0.019749
0.050000,19.457440,1.891890,13.172396,9.128473,-5.000000,0.000000,0.023303
0.050000,19.907475,1.903030,13.622570,8.878473,-5.000000,0.000000,0.026082
0.050000,20.344987,1.914918,14.060243,8.628473,-5.000000,0.000000,0.028143
0.050000,20.769983,1.927200,14.485417,8.378473,-5.000000,0.000000,0.029538
0.050000,21.182472,1.939569,14.898090,8.128473,-5.000000,0.000000,0.030322
0.050000,21.582459,1.951764,15.298264,7.878473,-5.000000,0.000000,0.030546
0.050000,21.969953,1.963564,15.685938,7.628473,-5.000000,0.000000,0.030258
0.050000,22.344959,1.974788,16.061111,7.378473,-5.000000,0.000000,0.029507
0.050000,22.707481,1.985289,16.423785,7.128473,-5.000000,0.000000,0.028340
0.050000,23.057521,1.994954,16.773959,6.878473,-5.000000,0.000000,0.026800
0.050000,23.395081,2.003698,17.111632,6.628473,-5.000000,0.000000,0.024932
0.050000,23.720162,2.011464,17.436806,6.378473,-5.000000,0.000000,0.022777
0.050000,24.032763,2.018218,17.749480,6.128473,-5.000000,0.000000,0.020376
0.050000,24.332882,2.023950,18.049653,5.878473,-5.000000,0.000000,0.017766
0.050000,24.620516,2.028667,18.337327,5.628473,-5.000000,0.000000,0.014986
0.050000,24.895665,2.032395,18.612500,5.378473,-5.000000,0.000000,0.012071
0.050000,25.158323,2.035175,18.875174,5.128473,-5.000000,0.000000,0.009055
0.050000,25.408490,2.037058,19.125348,4.878473,-5.000000,0.000000,0.005970
0.050000,25.646161,2.038110,19.363021,4.628473,-5.000000,0.000000,0.002849
0.050000,25.871334,2.038402,19.588195,4.378473,-5.000000,0.000000,6.282905
0.050000,26.084008,2.038014,19.800869,4.128473,-5.000000,0.000000,6.279796
0.050000,26.284179,2.037032,20.001042,3.878473,-5.000000,0.000000,6.276733
0.050000,26.471846,2.035542,20.188716,3.628473,-5.000000,0.000000,6.273743
0.050000,26.647010,2.033636,20.363890,3.378473,-5.000000,0.000000,6.270847
0.050000,26.809668,2.031404,20.526563,3.128473,-5.000000,0.000000,6.268068
0.050000,26.959821,2.028936,20.676737,2.878473,-5.000000,0.000000,6.265425
