dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,25.979475,2.425491,0.003090,0.123601,2.472025,49.440492,3.141611
0.050000,25.978090,2.425491,0.015450,0.370804,4.944049,49.440492,3.141590
0.050000,25.953370,2.425491,0.040170,0.618006,4.944049,0.000000,3.141550
0.050000,25.916289,2.425494,0.077251,0.865209,4.944049,-0.000000,3.141491
0.050000,25.866849,2.425501,0.126691,1.112411,4.944049,0.000000,3.141413
0.050000,25.805048,2.425515,0.188492,1.359614,4.944049,0.000000,3.141317
0.050000,25.730888,2.425539,0.262653,1.606816,4.944049,-0.000000,3.141205
0.050000,25.644367,2.425578,0.349173,1.854018,4.944049,0.000000,3.141078
0.050000,25.545486,2.425636,0.448054,2.101221,4.944049,-0.000000,3.140938
0.050000,25.434245,2.425718,0.559296,2.348423,4.944049,0.000000,3.140787
0.050000,25.310643,2.425827,0.682897,2.595626,4.944049,0.000000,3.140627
0.050000,25.174682,2.425970,0.818858,2.842828,4.944049,-0.000000,3.140460
0.050000,25.026361,2.426151,0.967180,3.090031,4.944049,0.000000,3.140290
0.050000,24.865679,2.426374,1.127861,3.337233,4.944049,-0.000000,3.140120
0.050000,24.692638,2.426643,1.300903,3.584436,4.944049,0.000000,3.139952
0.050000,24.507236,2.426963,1.486305,3.831638,4.944049,-0.000000,3.139790
0.050000,24.309475,2.427335,1.684067,4.078841,4.944049,0.000000,3.139639
0.050000,24.099353,2.427760,1.894189,4.326043,4.944049,-0.000000,3.139501
0.050000,23.876871,2.428239,2.116671,4.573246,4.944049,0.000000,3.139381
0.050000,23.642030,2.428771,2.351513,4.820448,4.944049,0.000000,3.139284
0.050000,23.394828,2.429350,2.598716,5.067650,4.944049,-0.000000,3.139215
0.050000,23.135266,2.429973,2.858278,5.314853,4.944049,0.000000,3.139178
0.050000,22.863344,2.430630,3.130201,5.562055,4.944049,0.000000,3.139179
0.050000,22.579062,2.431311,3.414484,5.809258,4.944049,0.000000,3.139224
0.050000,22.282420,2.432001,3.711127,6.056460,4.944049,-0.000000,3.139317
0.050000,21.973418,2.432683,4.020130,6.303663,4.944049,0.000000,3.139466
