dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.217694,8.046399,0.003028,0.121124,2.422480,48.449602,0.000272
0.050000,10.229104,8.046373,0.015141,0.363372,4.844960,48.449602,6.278718
0.050000,10.253329,8.046147,0.039365,0.605620,4.844960,-0.000000,6.268950
0.050000,10.289657,8.045353,0.075703,0.847868,4.844960,-0.000000,6.253529
0.050000,10.338066,8.043388,0.124152,1.090116,4.844960,0.000000,6.231399
0.050000,10.398490,8.039348,0.184714,1.332364,4.844960,0.000000,6.200897
0.050000,10.470778,8.031910,0.257389,1.574612,4.844960,-0.000000,6.159444
0.050000,10.554587,8.019145,0.342175,1.816860,4.844960,0.000000,6.103049
0.050000,10.649177,7.998231,0.439075,2.059108,4.844960,0.000000,6.025530
0.050000,10.752955,7.965033,0.548086,2.301356,4.844960,-0.000000,5.917613
0.050000,10.862542,7.913712,0.669210,2.543604,4.844960,0.000000,5.767191
0.050000,10.971252,7.837072,0.802447,2.785852,4.844960,0.000000,5.565637
0.050000,11.068325,7.729360,0.947795,3.028100,4.844960,0.000000,5.326151
0.050000,11.141562,7.593783,1.102228,3.149224,2.422480,-48.449602,5.097234
0.050000,11.186582,7.444375,1.258469,3.100399,-0.976510,-67.979801,4.923037
0.050000,11.208980,7.295361,1.409240,2.930449,-3.398990,-48.449602,4.807796
0.050000,11.217016,7.155155,1.549706,2.688201,-4.844960,-28.919404,4.736443
0.050000,11.217188,7.026811,1.678060,2.445953,-4.844960,0.000000,4.694231
0.050000,11.213612,6.910627,1.794302,2.203705,-4.844960,-0.000000,4.671208
0.050000,11.208723,6.806613,1.898431,1.961457,-4.844960,0.000000,4.661236
0.050000,11.203917,6.714722,1.990448,1.719209,-4.844960,0.000000,4.660248
0.050000,11.199917,6.634918,2.070352,1.476961,-4.844960,-0.000000,4.665288
0.050000,11.196997,6.567189,2.138144,1.234713,-4.844960,0.000000,4.673995
0.050000,11.195134,6.511541,2.193823,0.992465,-4.844960,-0.000000,4.684357
0.050000,11.194129,6.467986,2.237390,0.750217,-4.844960,0.000000,4.694610
0.050000,11.193703,6.436534,2.268845,0.507969,-4.844960,-0.000000,4.703253
0.050000,11.193582,6.417192,2.288187,0.265721,-4.844960,0.000000,4.709110
0.050000,11.193566,6.408742,2.296638,0.072299,-3.868450,19.530198,4.711802
0.050000,11.193565,6.406934,2.298445,0.000000,-1.445970,48.449602,4.712389
0.050000,11.193565,6.406934,2.298445,0.000000,0.000000,28.919404,4.712389
