dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,11.193565,6.485004,0.003084,0.123344,2.466886,49.337721,4.711235
0.050000,11.193565,6.484879,0.015418,0.370033,4.933772,49.337721,4.712401
0.050000,11.193594,6.460206,0.040087,0.616722,4.933772,0.000000,4.714747
0.050000,11.193747,6.423206,0.077090,0.863410,4.933772,-0.000000,4.718309
0.050000,11.194158,6.373867,0.126428,1.110099,4.933772,0.000000,4.723142
0.050000,11.195011,6.312201,0.188100,1.356787,4.933772,-0.000000,4.729320
0.050000,11.196545,6.238210,0.262107,1.603476,4.933772,0.000000,4.736941
0.050000,11.199058,6.151907,0.348448,1.850165,4.933772,0.000000,4.746132
0.050000,11.202922,6.053308,0.447123,2.096853,4.933772,-0.000000,4.757051
0.050000,11.208585,5.942445,0.558133,2.343542,4.933772,0.000000,4.769897
0.050000,11.216590,5.819364,0.681477,2.590230,4.933772,-0.000000,4.784915
0.050000,11.227593,5.684133,0.817156,2.836919,4.933772,0.000000,4.802410
0.050000,11.242382,5.536861,0.965169,3.083608,4.933772,0.000000,4.822760
0.050000,11.261905,5.377711,1.125517,3.330296,4.933772,-0.000000,4.846434
0.050000,11.287307,5.206913,1.298199,3.576985,4.933772,0.000000,4.874014
0.050000,11.319972,5.024811,1.483215,3.823673,4.933772,0.000000,4.906223
0.050000,11.361571,4.831906,1.680566,4.070362,4.933772,0.000000,4.943955
0.050000,11.414125,4.628931,1.890251,4.317051,4.933772,0.000000,4.988300
0.050000,11.480060,4.416955,2.112271,4.563739,4.933772,0.000000,5.040561
0.050000,11.562258,4.197529,2.346625,4.810428,4.933772,0.000000,5.102218
0.050000,11.664052,3.972882,2.593314,5.057116,4.933772,0.000000,5.174809
0.050000,11.789129,3.746150,2.852337,5.303805,4.933772,-0.000000,5.259630
0.050000,11.941243,3.521567,3.123694,5.550494,4.933772,0.000000,5.357179
0.050000,12.123675,3.304497,3.407386,5.797182,4.933772,-0.000000,5.466373
0.050000,12.338500,3.101074,3.703413,6.043871,4.933772,0.000000,5.583873
0.050000,12.585918,2.917347,4.011773,6.290559,4.933772,-0.000000,5.704141
0.050000,12.864091,2.758136,4.332469,6.537248,4.933772,0.000000,5.820665
0.050000,13.169683,2.626167,4.665498,6.783937,4.933772,0.000000,5.927796
0.050000,13.498795,2.521889,5.010862,7.030625,4.933772,-0.000000,6.022017
0.050000,13.847799,2.443942,5.368561,7.277314,4.933772,0.000000,6.102047
0.050000,14.213787,2.389837,5.738594,7.524003,4.933772,0.000000,6.168174
0.050000,14.594656,2.356538,6.120961,7.770691,4.933772,-0.000000,6.221456
0.050000,14.989016,2.340808,6.515663,8.017380,4.933772,0.000000,6.263134
0.050000,15.396033,2.339364,6.922699,8.264068,4.933772,0.000000,0.011120
0.050000,15.815288,2.348875,7.342070,8.510757,4.933772,-0.000000,0.032565
0.050000,16.246656,2.365888,7.773775,8.757446,4.933772,0.000000,0.044664
0.050000,16.690209,2.386664,8.217814,9.004134,4.933772,-0.000000,0.047330
0.050000,17.146130,2.406961,8.674188,9.250823,4.933772,0.000000,0.039908
0.050000,17.614600,2.421703,9.142897,9.497511,4.933772,-0.000000,0.021018
0.050000,18.081548,2.425122,9.623939,9.744200,4.933772,0.000000,6.279389
0.050000,18.574894,2.419967,10.117317,9.990889,4.933772,0.000000,6.266287
0.050000,19.080468,2.408294,10.623028,10.237577,4.933772,0.000000,6.254130
0.050000,19.598199,2.390309,11.141074,10.484266,4.933772,0.000000,6.243019
0.050000,20.124954,2.366463,11.668371,10.607610,2.466886,-49.337721,6.233110
0.050000,20.652794,2.337693,12.196995,10.537358,-1.405038,-77.438490,6.224594
0.050000,21.173811,2.305236,12.719023,10.343762,-3.871925,-49.337721,6.217579
0.050000,21.683633,2.270268,13.230044,10.097073,-4.933772,-21.236953,6.212050
0.050000,22.180980,2.233748,13.728731,9.850385,-4.933772,0.000000,6.207932
0.050000,22.665900,2.196454,14.215083,9.603696,-4.933772,0.000000,6.205127
0.050000,23.138441,2.159072,14.689100,9.357008,-4.933772,0.000000,6.203544
0.050000,23.598649,2.122196,15.150783,9.110319,-4.933772,0.000000,6.203093
0.050000,24.046565,2.086340,15.600132,8.863630,-4.933772,0.000000,6.203687
0.050000,24.482223,2.051939,16.037146,8.616942,-4.933772,0.000000,6.205244
0.050000,24.905651,2.019356,16.461826,8.370253,-4.933772,0.000000,6.207682
0.050000,25.316869,1.988889,16.874172,8.123565,-4.933772,0.000000,6.210922
0.050000,25.715891,1.960772,17.274183,7.876876,-4.933772,-0.000000,6.214888
0.050000,26.102722,1.935184,17.661859,7.630187,-4.933772,0.000000,6.219506
0.050000,26.477362,1.912250,18.037202,7.383499,-4.933772,0.000000,6.224705
0.050000,26.839807,1.892048,18.400209,7.136810,-4.933772,-0.000000,6.230413
0.050000,27.190046,1.874609,18.750883,6.890121,-4.933772,0.000000,6.236564
0.050000,27.528065,1.859928,19.089221,6.643433,-4.933772,-0.000000,6.243091
0.050000,27.853849,1.847960,19.415226,6.396744,-4.933772,0.000000,6.249930
0.050000,28.167380,1.838629,19.728896,6.150056,-4.933772,-0.000000,6.257019
0.050000,28.468638,1.831830,20.030231,5.903367,-4.933772,0.000000,6.264298
0.050000,28.757605,1.827433,20.319233,5.656678,-4.933772,0.000000,6.271710
0.050000,29.034263,1.825285,20.595899,5.409990,-4.933772,0.000000,6.279198
0.050000,29.298594,1.825216,20.860232,5.163301,-4.933772,0.000000,0.003524
0.050000,29.550585,1.827040,21.112229,4.916613,-4.933772,0.000000,0.011008
0.050000,29.790222,1.830560,21.351893,4.669924,-4.933772,-0.000000,0.018416
0.050000,30.017495,1.835570,21.579222,4.423235,-4.933772,0.000000,0.025702
0.050000,30.232397,1.841856,21.794216,4.176547,-4.933772,0.000000,0.032823
0.050000,30.434924,1.849204,21.996876,3.929858,-4.933772,0.000000,0.039740
0.050000,30.625073,1.857397,22.187202,3.683170,-4.933772,-0.000000,0.046413
0.050000,30.802845,1.866222,22.365193,3.436481,-4.933772,0.000000,0.052808
0.050000,30.968243,1.875467,22.530850,3.189792,-4.933772,0.000000,0.058892
0.050000,31.121273,1.884930,22.684173,2.943104,-4.933772,0.000000,0.064636
0.050000,31.261942,1.894413,22.825161,2.696415,-4.933772,-0.000000,0.070012
0.050000,31.390257,1.903732,22.953814,2.449727,-4.933772,0.000000,0.074996
0.050000,31.506229,1.912712,23.070133,2.203038,-4.933772,0.000000,0.079566
0.050000,31.609867,1.921191,23.174118,1.956349,-4.933772,-0.000000,0.083702
0.050000,31.701182,1.929021,23.265768,1.709661,-4.933772,0.000000,0.087386
0.050000,31.780184,1.936070,23.345084,1.462972,-4.933772,-0.000000,0.090604
0.050000,31.846882,1.942222,23.412065,1.216283,-4.933772,0.000000,0.093343
0.050000,31.901286,1.947377,23.466712,0.969595,-4.933772,-0.000000,0.095591
0.050000,31.943402,1.951452,23.509025,0.722906,-4.933772,0.000000,0.097341
0.050000,31.973236,1.954384,23.539003,0.476218,-4.933772,0.000000,0.098585
0.050000,31.990793,1.956127,23.556647,0.229529,-4.933772,-0.000000,0.099319
0.050000,31.997824,1.956829,23.563712,0.053092,-3.528734,28.100769,0.099613
0.050000,31.999145,1.956961,23.565040,0.000000,-1.061848,49.337721,0.099669
0.050000,31.999145,1.956961,23.565040,0.000000,0.000000,21.236953,0.099669
