dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.537797,2.988821,0.002500,0.100000,2.000000,40.000000,0.000758
0.050000,1.544147,2.988808,0.010000,0.200000,2.000000,0.000000,6.278992
0.050000,1.556646,2.988703,0.022500,0.300000,2.000000,0.000000,6.270666
0.050000,1.574143,2.988381,0.040000,0.400000,2.000000,-0.000000,6.258854
0.050000,1.596632,2.987661,0.062500,0.500000,2.000000,0.000000,6.243403
0.050000,1.624097,2.986303,0.090000,0.600000,2.000000,0.000000,6.224121
0.050000,1.656516,2.984008,0.122500,0.700000,2.000000,-0.000000,6.200786
0.050000,1.693841,2.980408,0.160000,0.800000,2.000000,0.000000,6.173160
0.050000,1.736002,2.975066,0.202500,0.900000,2.000000,-0.000000,6.141006
0.050000,1.782889,2.967473,0.250000,1.000000,2.000000,0.000000,6.104120
0.050000,1.834340,2.957051,0.302500,1.100000,2.000000,-0.000000,6.062381
0.050000,1.890131,2.943159,0.360000,1.200000,2.000000,0.000000,6.015807
0.050000,1.949962,2.925113,0.422500,1.300000,2.000000,-0.000000,5.964626
0.050000,2.013448,2.902210,0.490000,1.400000,2.000000,0.000000,5.909346
0.050000,2.080124,2.873766,0.562500,1.500000,2.000000,0.000000,5.850807
0.050000,2.147254,2.840346,0.637500,1.500000,0.000000,-40.000000,5.792104
0.050000,2.212358,2.803130,0.712500,1.500000,0.000000,0.000000,5.736174
0.050000,2.275349,2.762438,0.787500,1.500000,0.000000,0.000000,5.683745
0.050000,2.336210,2.718622,0.862500,1.500000,0.000000,0.000000,5.635345
0.050000,2.394981,2.672038,0.937500,1.500000,0.000000,0.000000,5.591311
0.050000,2.451756,2.623040,1.012500,1.500000,0.000000,0.000000,5.551805
0.050000,2.506669,2.571961,1.087500,1.500000,0.000000,0.000000,5.516859
0.050000,2.559884,2.519115,1.162500,1.500000,0.000000,0.000000,5.486409
0.050000,2.611586,2.464786,1.237500,1.500000,0.000000,0.000000,5.460333
0.050000,2.661972,2.409234,1.312500,1.500000,0.000000,0.000000,5.438480
0.050000,2.711248,2.352695,1.387500,1.500000,0.000000,0.000000,5.420694
0.050000,2.759624,2.295383,1.462500,1.500000,0.000000,0.000000,5.406828
0.050000,2.807312,2.237496,1.537500,1.500000,0.000000,0.000000,5.396758
0.050000,2.854522,2.179220,1.612500,1.500000,0.000000,0.000000,5.390386
0.050000,2.901467,2.120729,1.687500,1.500000,0.000000,0.000000,5.387651
0.050000,2.948358,2.062195,1.762500,1.500000,0.000000,0.000000,5.388524
0.050000,2.995405,2.003786,1.837500,1.500000,0.000000,0.000000,5.393013
0.050000,3.042820,1.945676,1.912500,1.500000,0.000000,0.000000,5.401165
0.050000,3.090814,1.888044,1.987500,1.500000,0.000000,0.000000,5.413059
